workerid,proliferate.condition,item,item_type,maximality,response,slide_number,state,stim,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.item_comments,subject_information.language,subject_information.problems,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
185,experiment_1,tea,control,maximal,FALSE,3,0,Andy drank the tea,[],31,Yes,None,2,1,.20,Male,None,English,No,Chrome,Linux,732,412,3.2998,
185,experiment_1,cookie,critical,maximal,TRUE,4,3,Andy ate the cookie,[],31,Yes,None,2,1,.20,Male,None,English,No,Chrome,Linux,732,412,3.2998,
185,experiment_1,soda,filler,partial,TRUE,5,1,Andy drank the soda,[],31,Yes,None,2,1,.20,Male,None,English,No,Chrome,Linux,732,412,3.2998,
185,experiment_1,banana,control,maximal,FALSE,6,0,Andy ate the banana,[],31,Yes,None,2,1,.20,Male,None,English,No,Chrome,Linux,732,412,3.2998,
185,experiment_1,whiskey,baseline,partial,TRUE,7,5,Andy drank the whiskey,[],31,Yes,None,2,1,.20,Male,None,English,No,Chrome,Linux,732,412,3.2998,
185,experiment_1,wing,filler,partial,TRUE,8,4,Andy ate the wing,[],31,Yes,None,2,1,.20,Male,None,English,No,Chrome,Linux,732,412,3.2998,
185,experiment_1,coffee,baseline,maximal,TRUE,9,5,Andy drank the coffee,[],31,Yes,None,2,1,.20,Male,None,English,No,Chrome,Linux,732,412,3.2998,
185,experiment_1,wing,control,partial,FALSE,10,0,Andy ate the wing,[],31,Yes,None,2,1,.20,Male,None,English,No,Chrome,Linux,732,412,3.2998,
185,experiment_1,apple,baseline,partial,TRUE,11,5,Andy ate the apple,[],31,Yes,None,2,1,.20,Male,None,English,No,Chrome,Linux,732,412,3.2998,
185,experiment_1,whiskey,critical,partial,TRUE,12,2,Andy drank the whiskey,[],31,Yes,None,2,1,.20,Male,None,English,No,Chrome,Linux,732,412,3.2998,
185,experiment_1,coffee,critical,maximal,TRUE,13,1,Andy drank the coffee,[],31,Yes,None,2,1,.20,Male,None,English,No,Chrome,Linux,732,412,3.2998,
185,experiment_1,cookie,baseline,maximal,TRUE,14,5,Andy ate the cookie,[],31,Yes,None,2,1,.20,Male,None,English,No,Chrome,Linux,732,412,3.2998,
